entity,attribute,answer
片,词性,动词、名词、形容词、量词
九阳jyf-40fe06a,容积大小,4l
雪丰钢铁,净利润,2.59亿元
修真门派掌门人,月点击,9926
以一抵百,例句,在泰国，大象曾经带着武士，
fleetwoodmac,现任成员,mickfleetwood、johnmcvie、
华为c8810电信版,外观样式,直板
民主党,意识形态,美国自由主义[2][3]内部派别： ·进步主义[4][5] ·中间偏左[6] ·保守主义[7] ·公民自由意志主义[8] ·民粹主义[9]
中山桥,总长度,55米（180英尺）
格式塔心理学,创立人,韦特海默
东京食尸鬼,原版名称,東京喰種トーキョーグール
衡山路,更名时间,1943年10月
首饰,英文别名,jewellery
罗马尼亚语,当地使用人数,大约2400万
城巴90线,主要竞争交通,新巴91线
三角叶荨麻（原亚种）,价值,嫩叶可食
贵霜帝国,常用语言,巴利语，大夏语，梵语，希腊语
凉宫春日系列,媒体,umd
宿迁市宿城区陈圩双语学校,教职员工,50人
plosneglectedtropicaldiseases,issn,1935-2727(印刷版)
劈叉,又名,一字马
长沙理工大学体育教学部,教授,17人
西湖区,车牌首号,赣a
爱国者dpf5181b,音频格式,支持背景mp3音乐播放
a-5攻击机,退役,1979年
广州地铁7号线,目前状况,建设中(一期)规划中(二期)西延段（远期）
西安秦瑞财务管理咨询有限公司,主要从事,西安工商注册代理
最后一分钟,选自,人教版小学五年级上册七单元24课
白鳍豚,保护级别,国家一级保护动物
心理测量者,代理发行,富士创意公司（海外）群英社（中国台湾、中国香港）funimation（加拿大、美国）
汉语,iso639-3,分别为：han – 现代标准汉语mdŋ – 闽东语jin – 晋语gua – 官话hui – 徽语gam – 赣语hak – 客家语xia – 湘语bân – 闽语wuy – 吴语yïd – 粤语wax – 乡话wyw – 文言文sgh – 上古汉语zgh – 中古汉语
雏鸡曲霉菌病,中医病名,雏鸡曲霉菌病
南瓜玛芬蛋糕,用餐人数,1-2人
完美的自然：当代环境美学的哲学基础,条形码,9787301084656;
萨拉托加号航空母舰,宽度,35.3米
凉拌蒜苗,详细介绍,上好的蒜苗掐头去尾
不灭武尊,章节,1808章
华为mate7,售价,2999/3699元
胡椒基氯,分子式,c8h7clo2
mediacoder,支持格式,"mp3,ogg/vorbis,aac"
macosxleopard,发布,2007年10月26日（7年前）[信息]
阳阳,原型,羊
台湾,汉语名称,臺灣或台灣
尼康d40,像素,610万像素
一骑当千,美术监督,广濑义宪
郑中基,影视代表作品,《心想事成》;《老港正传》;《绝口不提爱你》;《别爱我》;《无赖》
无人驾驶中文版,简体中文,赛车竟速
四季沐歌悦动飞天1800北方,产品类别,太阳能热水器
商务沟通,译者,钱峰
spark乐驰,标准变速器,5档手动
龙泉村,行政类别,村
漫威漫画,业务地区,na
徳浦hdv-p66,最大像素,1200万
富士通3093dg,光学分辨率,400
worm.win32.vb,警惕程度,★★★☆
天龙ah-d400,功能用途,hifi耳机，监听耳机
岩间圣母,创作时期,1483～1490年（第一幅）
《鹿鼎记》,发行公司,香港电视广播有限公司
大众途观,引擎类型,涡轮增压
竹石图,横,28.7厘米
约旦商品展,展会地点,约旦安曼国际展览中心
海鲜砂锅粥,佐料,老姜 香葱
三体,获得奖项,2006年中国科幻银河奖特别奖
泊悦府,产权类型,住宅
尼奥绍号,命名依据,尼奥绍河
宝马x5,油耗,7.2-11.9（l/100km）
太平镇,车牌号码,渝
阔孜库勒帕什与巴彦苏鲁,亦作,阔子少郎和巴彦美人
金波,荣誉称号,全国优秀名医
凉宫春日系列,代理商,bandainamco
宝马x1,油耗,9.4升/百公里
织田氏,根据地,尾张国
潜行吧！奈亚子,网络,niconico
内斯,郡,基尔代尔郡
氯甲基甲硫醚,casno,2373-51-5
桑泰丹华二期,容积率,2.8
拉孔布·吕西安,国家,法国/西德/意大利
泰勒·斯威夫特,演奏乐器,吉他、钢琴、尤克里里
元音字母,指,语言里起着发声作用的字母
htcg20rom,rom大小,319mb
万达广场,绿化率,10%
poweredget105,内存大小,1gb
晋番茄5号,审定年份,2002
迪欧,头衔,多瑞亚斯国王辛达族君王
三星i939,数据业务,gprs，cdma1x，evdorev.a
文峰塔,层数,七层
工藤俊作,参与战争,苏腊巴亚海海战
门静脉血栓,病因,半数以上的病例病因不明
板蓝根,毒性,无毒
梅里雪山,最高海拔,6740米
私募股权融资,好处,稳定资金来源、高附加值服务
失落叶,签约网站,17k小说网
积雪草,用量,15～30g
今日说法,开播时间,1999年1月2日
w酒店,设计建设团队,霍恩贝格+沃斯特尔[1]
2011款风朗2.0lcvt时尚版,推出年款,2011年6月9日
f-20虎鲨战斗机,翼展,8.1米
曲龙寺,寺庙信息,中国西藏自治区日喀则地区定日县
火锅,起源地,四川自贡
乐安公主,夫,张怙
老倔厨,产品系列,宫廷果仁牛肉
浅田真央,教练,佐藤信夫，佐藤久美子
白马河,河长,86公里
安奈特at-8000s/24,交换机类型,千兆以太网交换机
萝伦·浮士德,知名于,飞天小女警，亲亲麻吉，彩虹小马：友情就是魔法
比例积分控制器,工作电压,ac24v 50--60hz
林肯县,人口 - 2000年,"4,044人"
胡萝卜白粉病,病原,独活白粉菌，属于囊菌门真菌
成功级巡防舰,制造厂,台湾国际造船公司高雄厂
大叶黄杨叶斑病,病原类型,病菌
固体矿床露天开采技术,专业代码,540304
黄裳,详细解释,黄色的下衣
黄浦区,建置时间,2000年至2011年
过海隧道巴士103线,全程行车时间,70分钟
8b/10b,也叫,8比特/10比特
怀念金曲,公司,海丽集团
德国空军第1防空导弹联队,军种,空军
圣宝sv-926翔凤1号,频率响应,70hz-108khz
秦时明月之荆轲外传,丛书系列,（台湾原版）多媒体书-科技人文
过海隧道巴士103线,全程行驶里程,19.4公里
日产gt-r,品牌,nissan（尼桑）gt-r
安庆一枝梅化工有限责任公司,现有职工,150余人
斯蒂芬·埃德伯格,单打成绩,801-270
小口径结构管,运用,广泛
张家界摄影自助游网,创办者,陈同程
旱巨茴组,形态特征,叶片质厚，干燥时坚硬，不凋落
新发田城,建造者,新发田氏
松下dp-3000,黑白打印速度,30张/分
中山公园站,出入口数目,12个出入口
幻灯片,释义2,指某种极卡的游戏
武汉交通职业学院,办学宗旨,立足交通依托水系并行兼长[2]
东正教,创始时间,1世纪30年代
歪侠传,目前状况,内测
不朽尸王,阵营,夜魇
羽毛球,设备,羽毛球（简称：羽球）、羽毛球拍
太育3号,申报单位,晋审玉2012011
塞雷娜·威廉姆斯,职业奖金,"$56,082,185美金"
进贤县科技局,文件,《防震减灾法》
艺术解剖学,研究对象,生物结构
氰酸钾,相对分子质量,81.1151
企业号航空母舰,武器装备,rim-162改良海麻雀导弹rim-116拉姆导弹近程防御武器系统
怪医黑杰克,音响监督,山田悦司、山田智明
广东省二轻工业集团公司,现有员工,1156人
fortinetfortigate3600lx4,并发连接数,1000000
石破天,门派,长乐帮→金乌派→侠客岛
绝世人妖养成系统,其他相关作品,《非常反串》完结
墨水火柴人,游戏操作,【wasd】移动跳跃
卡罗斯·海斯卡克,服役年份,1959年～1979年
丁氟螨酯,沸点,269.2℃
贝尔格莱德机场,三字代码,beg
神曲奏界,插图,神奈月升
富兰克林县,县治,温斯伯勒
九一八事变,相关人物,张学良，马占山，马占海，南次郎
练师,技能,精准打击
国际足联世界俱乐部杯,参赛队数,7队
包豪斯,评定标准,文化遗产（ii）（iv）（vi）
益川敏英,博士导师,坂田昌一[3]
中町,特别区,目黑区
新世纪购物广场,入住时间,2010年7月30日
快乐小鸟泡泡龙,游戏介绍,分成两个队伍，炮弹，组阵型
南京站,启用时间,2005年8月12日（1号线车站）
钢琴即兴伴奏基础教程：大众歌曲伴奏编配,isrc,cna640348700
皙肤泉清创净颜液,主要用于,清理化脓性痘痘的杀菌消炎
伊马特拉,行政区,southkarelia
worm.gone,处理时间,2001-12-05
ssk飚王spc027灵致,质保时间,1年
思科air-lap521g-a-k9,网络标准,单频段无线接入点
“十二五”规划,章数,62章
埃尔库莱斯·戈麦斯,俱乐部,前锋
联邦星舰进取号,注册,ncc-1701-a
南昌轨道交通,开通时间,2015年12月底
掸族,文字,泰文（掸体）
trojan/psw.agent.cks,危险级别,★
美国偶像,家乡,亚利桑那州格兰岱尔
盘锦嘉禾碳素制品有限公司,公司理念,说到做到
spark乐驰,油箱容积,38升
赵殷诺,noc,中国香港
埃尔克森·德·奥利维拉·卡多索,粤语名,艾杰臣
萱萱,角色,沉迷网络交友
intels2600cp2,适用平台,intel平台
大月兔,诞生时间,2014年9月
国夏,氏,国
ubuntukylin,初始版本,13.04
喉肌,部位,喉咙
时倚方,去世年月,1915年
中国安全防护网,运营公司,浙江中安科技股份有限公司
上古卷轴5：天际,适合年龄,18岁以上[2]
秋·张,来源,魔幻小说《哈利·波特》人物形
萨尔茨卡默古特,注册类型,文化遗产
长青公路,车速限制,80公里/小时
海尔kf-58lw/k2,变频/定频,否
梦想飞行里程之蓝色换日线,是否出版,是
鼎铭在线ap-3008,交换方式,存储转发
九龙巴士5a线,所属车厂,九龙湾车厂（k）
休斯敦火箭队,主教练,凯文·麦克海尔
走读干部,现象,干部脱离群众、作风漂浮、官僚
国际消费者权益日,设定时间,1983年
航海王,单行本册数,71卷（连载中）
标点符号用法,发布部门,国家质量监督检验检疫总局
塞雷娜·威廉姆斯,转职业年,1995年
上海市建筑市场管理条例,公布时间,2014年7月25日
伦敦大学伯贝克学院,校监,安妮公主 theprincessroyal
s136进口模具钢,主要成份,mn锰:0.5
绝对乙醇,纯度,99.99%
郑人之智,典源,《尹文子·大道》
拾夏网,摘要,文学，小说，情感，日记，杂谈
潜江市中医院,院长姓名,刘运雄
暗黑守护,游戏题材,奇幻
泰格尔,精灵属性,电战斗系
马铃薯灰霉病,病原拉丁学名,botrytiscinereapres.exfr.
yotaphone2,电池,1800mah锂电池
植村秀三元活采修护眼霜,产品品牌,植村秀&szlig;-g紧致系列
中国2010年上海世博会墨西哥国家馆,展馆名称,中国2010年上海世博会墨西哥国家馆如何为感兴趣的词条贡献有意义的内容？
nwz-s715f,设计类型,收放
雪城大学,吉祥物,ottotheorange
731部队,工作内容,细菌战和人体试验相关研究
faghc71914-e-t-p4s轴承,内径,70mm
中国银行大厦,技术细节,41层
斯蒂芬·埃德伯格,大满贯单打成绩,冠军（85、87）
你好！小姐,各地节目名称,hello！小姐／甜心當家
宝冢花组,隶属公司,宝冢歌剧团
川芎1号,品种类型,川芎
狮子身中虫,释义1,佛语。比喻从内部破坏佛法的败类
2011竞标方案表现作品集成,精装,480页
海尔jzy-t103x,适用气源,液化气
传送门2,语言版本,英，中，法，日等
新乡东站,股道数目,7
线损四分管理,影响因素,计量基础管理
铝线,牌号,1060、2011、2014
镰蟹,全高,约110cm（带壳约184cm）
潜江市质量技术监督局,内设,办公室、
九黄晶晶,营业面积,2000平方米左右
青岛市林业局,单位属性,国家机关
桑椹菌核病,病害类型,子囊菌亚门
雾锁南洋,故事,梁立人、江龙
库依尔特斯河,所在洲,亚洲
麻将悟空,研发,chatnoir
b1重型坦克,装甲,40毫米
宏碁ao725-c6cbb,核心数量,双核心双线程
国营文教卫生企业财务管理,主要任务,事业单位企业管理
双水平无创呼吸机,注册号,国食药监械(进)字2013第254115
ktck-2210s5-d,最大分辨率,1920×1080
孜孜不倦,感情色彩,褒义
夏·多拉格尼尔,年龄,未知（但是作者真岛浩在漫画里说过，年龄是秘密不能透露，但是有80或者400岁以上）
oni零：战国乱世百花缭乱,发行厂商,ideafactory
最真的梦演唱会,歌手,：周华健
条顿骑士团,指挥官,hochmeisterbrunoplatter
海尔fcd-jthqb40-iii(e),额定压力,40l
尸体派对,结局数,br各章5个trueend，2个extraend，bs各章8个trueend
欧尼友谊中学,建校时间,1837年
中国移动通信研究院,研究内容,核心网络研究
罗杰·费德勒,冠军头衔,83（网球史上第三）
惠普compaqpresariocq40-507au,主频,2.10ghz
fag23156b.mb轴承,轴承产地,德国
陆机,典故,潘江陆海、华亭鹤唳
郑州七彩丝网花材料有限公司,经营宗旨,品质第一，客户至上；
北港溪,源头,七星岭
范玮卿：古筝教学,碟片数,2
中华人民共和国国务院,秘书长,杨晶（机关党组书记）
迪欧,寿命,太阳纪470年-太阳纪506年[1]
倚天屠龙记,编导,杜琪峰，陈木胜，黄锦钿，冯柏源
电脑速记机,发明时间,1994年
koyo54208u轴承,旧型号,48208
滕玉涛,任职,大连市聋人协会副主席
千手观音,演出场馆,重庆人民大会堂
东北方言,使用范围,黑龙江省、吉林省、辽宁省
重庆工学院外国语学院,专任教师,60余人
汕优448,全生育期,平均120天
天蝎座,面积排名,第33位
黄莹莹,现年,30岁
江苏省纤维检验局,编制,现有编制30名，职工30名。
戏曲作品目录,关于,《武林旧事》
流氓高手,总推荐,1128798
华硕p5gpl-xse,主板架构,atx
屠龙刀,持有者,长眉真人→屠龙师太→眇姑→癞姑
国家体育场,业主,北京奥组委（奥运会期间）中信集团（至2038年）及北京市国资委（2038年起）
中国农业银行,年盈利,3777.31亿元（2011年）
萨拉托加号航空母舰,级别,列克星敦级
朥饼,所属菜系,潮州菜
中国传媒大学经济与管理学院青年志愿者协会,管理,由经济与管理学院分团委直接领导
亨利·贝迪莫,曾效力,朗斯
糖尿病,并发症,心血管疾病、神经系统疾病、肾脏疾病、糖尿病足、白内障
燕后文公,在位时间,公元前361年―公元前333年
仓岛千百合,班级,一年c班→二年c班
南通市通州区住房和城乡建设局,负责人,黄建明
时空猎人,游戏下载,应用宝、ios：appstore
勇敢级驱逐舰,续航距离,7000海里左右
马吉里欧·欧多尼兹,打点,1095
吸血鬼保姆,字幕,中文
练江,流经区域,安徽省
马吉里欧·欧多尼兹,本垒打,268
要塞,游戏发行,2kgames
斜坡村,林地面积,8万余亩
皇帝,发色,金色或者银色
民主党,政治立场,中间偏左
spark乐驰,气门数,16个
蓝天lte9,通话时间,480分钟
宋太宗,在世,939年11月20日～997年5月8日
日法,表示,用分数
范思芳雪,核心价值观,感恩.责任.安全.奇迹
约翰内斯·勃拉姆斯,擅长类型,交响曲、协奏曲、钢琴独奏曲等
qq安全中心,应用类别,qq帐号保护软件/服务
迪奥小姐花漾淡香水,生产企业,克丽丝汀·迪奥公司
达里诺尔国家级自然保护区,保护对象,珍稀鸟类和多样性生态系统
纸皮核桃,营养成分,蛋白质、不饱和脂肪酸、维生素
民国四大美女,所在国家,中国
伊瓜苏国家公园,注册历史,1986年
美的cxw-180-ds15,排风量,15±1m3/min
抚顺特钢p20,供应商,抚顺特钢
戴尔inspironmini9,内存容量,1gbddrii
而今,【拼音】,érjīn
赮毕钵罗,组织门派,红冕边城
ntn51412轴承,内径d,60mm
勹,说文解字,"“包”的古体。裹勹bāo""包""的古字。裹。《说文．勹部》:""勹，裹也。"
卡尔·斯塔米茨,所属时期／乐派,古典主义曼海姆古典乐派
vr战士,出品年份,1995
南京午新闻,概况,每天60分钟的节目
恶灵兽,主人,天邪龙王
曲美家具,设计理念,原创设计 缔造时尚生活
南北朝,开始,439年北魏灭北凉
regina电力动车组,牵引功率,两节1590kw，三节2120kw
2012中国（江西）汽车后市场产业博览会,布展时间,2012年10月18日-19日
雏菊花语,花期,春初夏
岔河镇,行政村,29个
中国人民大学商学院,现任院长,毛基业
北京顺兴捷知识产权,批准,是经北京市工商局
fernando,名字来源,西班牙语
红拂女,所处时代,唐朝
世界报,编辑,pedroj.ramírez
反恐陆战队5.1,人群,玩家
原唱发烧：星语心愿,地区,大陆
程愫,所属单位,南京军区政治部前线文工团话剧队
spark乐驰,悬挂方式,烛式悬挂系统
上原浩治,防御率,3.01
兄弟9040cn,最大处理幅面,a4
枭龙,代号,fc-1，枭龙，jf-17雷电
建邦agp-30002mb显卡,显存类型,edo
织田信奈的野望,所属文库,ga文库→富士见fantasia文库
军官,定义,有任职令的人，即军队干部
北京地铁大兴线,起讫站点,天宫院——公益西桥
spark乐驰,燃油系统,电子燃油喷射式
spark乐驰,助力系统,有
斯蒂芬·埃德伯格,双打成绩,283-153
高纬度战栗,总监制,江潜周武军陈明
苏-27战斗机,外号,空中眼镜蛇
茶树精油,气味,新鲜、略微刺鼻的木质类香调
中国2014年青岛世界园艺博览会,参观人数,约1200万人
章含之,女儿,洪晃（婚姻离异三次）
丹尼尔·斯图里奇,合同到期,2019-10-1
天梭,品牌理念,创新，源于传统
2011西安世界园艺博览会,展会类别,园艺类、科学类、农业类
董鄂氏,名人,清初何和礼、顺治时大臣费扬古
纽约大学,代表色,紫色
微店,成立宗旨,快乐创业
风中奇缘,配乐,亚伦·孟肯、史蒂芬·史瓦兹
莫尔道嘎国家森林公园,森林覆盖率,为93.3%
aocle22a1120,背光类型,led
过海隧道巴士619线,终点站服务时间,0615-2400
庆元香菇市场,建成,1991年底
双水平无创呼吸机,批准日期,2013.03.14
大埔公路－沙田段,行车线数目,6线双程（3线双程分隔道路）
西峡恐龙遗迹园,主要景点,恐龙馆、恐龙蛋遗址、水上乐园等
hlt立式化工通道泵,具有,ij、ht型化
灰叶女蒿,亚族,菊亚族
斯蒂芬·埃德伯格,温网,冠军（88、90）
智能手机,操作系统,android，ios，wp，symbian等
世界信用组织,注册时间,中国香港和美国犹他州盐湖城
ibmsystemstorageds3500(1746-a2d),平均传输率,16gb/s
koyo7019轴承,轴承厚度,24mm
大爱电视,播放地区,台湾、香港、菲律宾
家庭收支管理软件,官方名称,“美萍记账通
休循,所属洲,亚洲
明治大学,创办时间,1881年1月
艾洛松软膏,贮藏,密闭，25℃以下保存
圣士提反书院,职员人数,138人，包括教职员、6实验室及电脑技术人员、23行政人员、23校工、4辅助职员、2全职音乐导师[4]
品胜奥林巴斯dv/dc电池充电器,输入电压,输入电压:100v~240v50/60hz100
圣诞节,设立机构,罗马教会
浪涌保护器,产地,中国温州
武汉大学,博士后流动站,38
洱海,深度,20.7米
heaven,b面,will
美的fk2101,面板材质,黑晶面板
靖边县林业局,干部职工,771名
“二踢脚”中国当代艺术展,展览时间,2006年11月11号——12月15号
天龙ah-d400,灵敏度,115db
hi-scan100100t-2is异物检测机,功能特点,检查大件行李货物的理想选择
爱奇艺,口号,爱奇艺，自由看，屏生活
技展ap-3ca,扩展插槽,7个
最终幻想xv,总监,野村哲也
让-巴蒂斯特·毕奥,受影响于,路易斯·巴斯德
斯蒂芬·埃德伯格,美网,冠军（91、92）
蒋经国,宗教,基督教
犀,五笔86,nirh
中国好声音,频道,中国大陆浙江卫视首播
人类消失后的世界,旁白,詹姆斯▪劳瑞
东北龟甲,科名,叶甲总科
旧金山地震,震级,里氏6.9级
孙悟空,兵器,如意金箍棒
橡树湾,投资商,华润置地（福州）有限公司
fnf2000突击步枪,发射速率,850发/分钟
"(z)-3,4,5,4',-四甲氧基-3'-羟基二苯乙烯",casno.,117048-59-6
西周九年卫鼎,通高,37.2公分
狄仁杰之通天帝国,所获荣誉,第30届香港电影金像奖最佳导演
h3cmsr20-15-ac-w,端口结构,非模块化
的的喀喀湖,平均深度,107米
汇众教育青岛动漫学院,主管机关,国家信息产业部
二甲硝咪唑,分子量,141.13
艾尔弗德,依赖系统,win9x/nt/2000/xp
李文章,参加工作时间,1983年7月
莫天全,学历,硕士
送唐待制子方北使,精彩诗句,唯应沙漠凛，不减谏臣风
伊瓜苏国家公园,法文名称*,parcnationald'iguaçu
血钻野燕麦,注意事项,1.服用本品期间应尽量减少饮酒或含有酒精的饮料。2.孕妇、哺乳期女性禁用。3.请将本品放置儿童不能接触的地方。
2011年第8届亚洲打印展,展会面积,22000平米
台电a12,标称主频,1.0ghz
野百合学运,起因,国民大会代表自行通过延长任期
瓦尔特p38手枪,制造数量,"1,000,000"
山西焦煤集团有限责任公司,资产总额,2274亿元
破坏力学与工程防灾减灾四川省重点实验室,研究,材料-结构-工程的破坏力学
名家学派,著作,《邓析子》
运筹学,相关学科,管理学
哈尔滨东站,兴建时间,1932年
htcone,主屏幕,"5""1920x1080fhd,superlcd3"
超次元游戏海王星,对象年龄,日本－cero：b北美－esrb：teen欧洲－pegi：12
2013年东方丽人职业模特大赛,活动时间,2013年9月8-14号
中国农业大学,学校属性,"211工程,985工程"
金色帝国帝国之星430ws,风扇类型,12cm风扇
重生小萝莉情虐薄情影帝：重生之影后,第一章,重生（1）
hpstorageworksmsa70(ap715a),最大存储容量,7.5tb
爱普生wp-4011,最大打印幅面,a4
教皇,制度,圣统制
奥利机场,营业类型,公共事业
安得拉邦,• 排名,10th
的的喀喀湖,湖泊长度,190千米
菇耳壮,配方,糠夫：５斤
pta,简写,pta
第二代身份证,施行日期,于2004年1月1日起施行
沙溪乡,北纬,26°16′30″～26°24′10″
百分百公寓,车位,130个
ntn23140bk轴承,外径d,340mm
妮可·舒可辛格,经历,小野猫成员
万圣v-500,扬声器单元,4英寸+2x3英寸
宝历,结束时间,1764年
夏日祭,设定地点,日本的大街小巷
狗彘不食,解释,形容其人的品行极端恶劣
贝克山,山脉,鲁文佐里山脉
斯蒂芬·埃德伯格,法网,亚军（89）
失压计时仪,主要作用,及时反映故障情况
中国医药大厦,建筑类型,板塔结合
zten720,适用频率,gsm900/1800
华特迪士尼公司,息税前利润,▲96.20亿美元（2013年）[1]:27
井山裕太,师从,石井邦生九段[1]
g7高速,路线长度,2540公里
金享630笔记本无线鼠标,鼠标大小,普通鼠
民兵葛二蛋,策划,严澍、郭跃进、闫丹丹、李桶
一骑当千,摄影监督,福世晋吾、铃木洋平
特拉华州,最大城市,威明顿（wilmington）
氨,用途,制硝酸、化肥、炸药
虎头鲨,繁殖方式,卵生。
萨拉托加号航空母舰,吃水,8.1米
联冠845ge,主芯片组,intel845ge
北京营养健康展览馆,分区,.健康评估区
沙溪乡,东经,117°17′5″～117°26′45″
古洞口二级水电站,最大坝高,40.0m
肯尼迪号航空母舰,舰级,小鹰级航空母舰
中国营养学会,始创于,1945年
clreol,用法,voidclreol(void);
pm2.5口罩,有效期,3年
丁峰,毕业于,上海医科大学医学系
练江,源头,绩溪县东北龙丛源林区的黄花尖
香港岛专线小巴5号线,单程行车时间,约40分钟
brmfcmon.exe,间谍软件,no
液体刀,治疗,风湿
盐雾腐蚀试验箱,容积,"20,040,060,080,010,000,000"
库贝萨,精灵序号,595
加油大魔王,漫画状态,现世之章连载中 千年之章已完结
超级星光大道,执行制片,刘安华
正睿i2696288s-h,产品结构,2u正睿i2696288s-h处理器
惠普hpipaqhx2190,重量(g),164.4g6
康蒂·芭柏,艺名,andreabeck
1987年亚洲女子手球锦标赛,最终成绩,韩国（第1届冠军）
独立号航空母舰,满载排水量,15100吨
锦上添花创意工作室,服务内容,大型酒店、公司、会所、ktv
昆明市第二人民医院,医院院训,敬人敬业 至精至诚
保时捷918spyder,加速时间,3.1秒（0-100km/h）
马里奥兄弟顶怪物,游戏原名,：mariobros
飓风艾琳,伤亡,直接造成一人死亡
浙江棉果果棉业有限公司,制造,新疆有机彩棉
黑河,所属水系,黑河干流水系
巨蟹星龙,系别,金系
绵阳科技馆,展馆位置,绵阳市游仙区一环路东段288号
中国铁路,总长,突破110000千米（截止2014年底）
旅鸟,具体,迁徙途经，又不在该区繁殖或越冬
萨拉托加号航空母舰,最高航速,34.82节
龙泉寺,坐落在,岭下村进村的路边
甘南藏族自治州中级人民法院,工作人员,351人
的的喀喀湖,湖泊宽度,80千米
97-59-6,分子量,158.12
koyors40/20轴承,b(厚度),20mm
客家语,使用国家和地区,中华人民共和国（中国大陆） 中华民国（台湾）香港、马来西亚、印尼、越南、泰国、苏里南、毛里求斯等地的客家人社群
蓝刚玉,化学性质,"三氧二铝,al2o3"
逼瘟丹,处方,生苍术6两，大黄4两，白芷等
清平猪,产于,当阳市清平河沿岸
南圻国,历史时期,从法国独立1946年6月1日
广州地铁15号线,所属系统,广州市地下铁道总公司
蒜香海带,小贴士,海带焯水时不可焯的过久
桃园厅,原称,桃仔园厅
中老年高钙片,适合,45--70岁中老年
阿伯丁,水域面积,4.0km²(1.6mi²)
盘古越狱,运行平台,windows或mac os
英卡洛斯,进化阶段,高级
中山桥,跨越,马家沟河
gtk+,开发状态,执行中
萨拉托加号航空母舰,标准排水量,38746吨
普丽普莱,是否处方药,非处方药
玄机逸士,所处年代,明朝初年
美丽背后,责任编辑,韩天、梁奇、禹扬
acm程序设计大赛,美称,“程序设计的奥林匹克”
美国总统,任期,任期4年（可连任1届）
折瓣树萝卜,生境,海拔1200—1500米
陶汉林,所属球队,山东高速男篮
海尔jzy-t103x,灶眼数量,2
交通部中央气象局,授权法源,"台湾""交通部""中央气象局组织条例"
森松尼sr-2000键鼠套装,人体工学,支持
国际特赦组织,重点,人权监察、全球政策倡议
brmfcmon.exe,安全等级,0
炸弹小默奇2,大小,91.7mb
镜子,发行日期,2005.10.14
skt1,参赛项目,星际争霸1，星际争霸2，英雄联盟
汤加,官方语言,英语，汤加语
科密小秘书t10,噪音,≤58db
小学生日常行为规范,颁布日期,1991年8月20
重庆西站,使用状态,建设中
深层洁肤凝胶,主要成分,去角质球粒、植物萃取液
花×华,作画,すらだまみ
香港海关,所属部门,香港特别行政区政府
钩端螺旋体病肺出血型,病原学,钩端螺旋体
zealer,公司总部,深圳留学生创业大厦
spark乐驰,制动方式,四轮碟刹
佳能ixus50,传感器尺寸,（1/2.5）英寸ccd
051型驱逐舰,现况,"7艘现役,9艘退役,2艘中途停建,1艘爆炸事故沉没."
滨江红棉,地方,滨江
金钻麻-2,纹路颜色,金黄色|golden
小时代,imdb编码,tt3043630
杨振宁,原籍,安徽凤阳
美的mm823esj-pa,烹饪方式,微波
铜九鼎八簋,重,19.7--20.7公斤
泰国中央银行,英语,bankofthailand
单萜类,化学成分,jasminosideb
弘川法师,俗名,王金城
皖稻195号,审定单位,2005
blondie,出道地,美国纽约
荷兰国旗,比例,长与宽之比为3∶2
w3c潮流前端网,专注于,web前端开发行业的博客网站
大壁虎,同物异名,lacertageckolinnaeus（1758）
拜金女,价值观,金钱就是上帝
金山旅游区,南北长,1公里
led楼道声控灯,认证,ce认证和rohs认证
win32.troj.autorun.qp.90721,涉及,qq、魔域等
佛教,创始人,乔达摩·悉达多
苍井空,活跃年代,2000年—
格力ntsa-7,摆放方式,台式
国有企业清产核资办法,执行日期,2003年9月9日
卡西尼－惠更斯号,发射时间,1997年10月15日08:43:00utc(17年零3个月零28日前)
郑州号驱逐舰,动工时间,2008年12月16日
91助手,版本号,3.3.31.1056
海底两万里,发表时间,1869.3.20～1870.6.20[1]
红枣桂圆豆浆,食材,黄豆80克
华硕ux31ki2557e(128gb),待机时间,2周超长待机功能
重庆市人民政府办公厅关于市政府领导工作分工的通知,发文机关,重庆市人民政府办公厅[1]
流泪的新娘,首播频道,山东电视影视频道
沃勒,iso3166码,no-0137
东芝40td100c,最佳观看距离,2.6～3.0米
宋青白釉印花回纹花卉盏,现藏,成都华通博物馆
联冠845ge,cpu插槽,socket478
麻栗村,劳动力,1900人
2011第七届中国模具之都（宁波）博览会,所属行业,工业制造
歼-5,生产数量,767
姆拉登·彼得里奇,现效力球队,西汉姆联足球俱乐部
天兴,历时,5年余
奥林巴斯μtough-6020,感光器件,ccd
最后一分钟,页码,126页〜128页
工作绩效量化考核技术,介质,vcd
lightupmylife,编曲,邓智伟，庄冬昕，
张宏业,指导思想,为民服务
大坑村,山林面积,3.2万亩
凤凰山,主峰海拔,2128米
b1重型坦克,主要武器,47毫米sa34
装备战伤理论与技术,开本,16开
1960年亚洲杯足球赛,比赛日期,10月14日–10月23日（10天）
汉江,流域面积,151000平方公里
女生节,起源时间,20世纪90年代初
tyep-33laaw,携带方式,肩扛式
奥林匹克国家公园,所属国,美洲
西林书院,责任者,知府黄士杰
疯狂的麦咭,播出状态,已完结
仁和镇,幅员面积,56.5平方公里
4-氨基-6-羟基-2-巯基嘧啶,产品编号,yzh051
mp3!,归类,计划
科学博物馆,联系方式,www.mos.org
条顿骑士团,主保圣人,童贞圣母玛利亚
九龙巴士249x线,服务时间以外替代路线,九龙巴士49x线
